CODE;DESIGNATION;UNITE;QUANTITE;POIDS;CATEGORIE
15100177301; Bebem pants culotte maxi 4x32 n°4 ;PACQUET;1 PACQUET;1 Kg;COUCHE
15100177302; Bebem pants culotte maxi 4x32 n°4 ;BALLE;4 PACQUET;1 Kg;COUCHE
13600227001; Biscuit rockers spark hitrick ;BOCAL;1 BOCAL;1 Kg;BISCUIT 
13600227002; Biscuit rockers spark hitrick ;CARTON;16 BOCAL;1 Kg;BISCUIT 
13800155201; Bonbon Caffee;SACHET ;1 SACHET ;1 Kg;BONBON
13800155202; Bonbon Caffee;CARTON;24 SACHET ;1 Kg;BONBON
13800158001; Bonbon star POP;SACHET;1 SACHET;1 Kg;BONBON
13800158002; Bonbon star POP;CARTON ;12 SACHET;1 Kg;BONBON
13800269001; Bonbon vintage truff choco 1kg;SACHET;1 SACHET;1 Kg;BONBON
13800269002; Bonbon vintage truff choco 1kg;CARTON;12 SACHET;1 Kg;BONBON
15600217801; Pointe 90X20 de 20kg;BOITE;1 BOITE;5 Kg;DIVERS
15600217802; Pointe 90X20 de 20kg;CARTON ;4 BOITE;20 Kg;DIVERS
13800196601; Sundea choco ice cream;BOITE;1 BOITE;1 Kg;BONBON
13800196602; Sundea choco ice cream;CARTON;20 BOITE;1 Kg;BONBON
13800149801; Tongue paint assorti 5g;SACHET;1 SACHET;1 Kg;BONBON
13800149802; Tongue paint assorti 5g;CARTON;20 SACHET;1 Kg;BONBON
13800188501; Tongue_dance (100pcs);BOITE;1 BOITE;1 Kg;BONBON
13800147601; Z bonbon fruit bocal;BOCAL;1 BOCAL;1 Kg;BONBON
15600148301; Z bonbon fruit SACHET en piece;PIECE;1 PIECE;1 Kg;DIVERS
13600093101;4X4 BOKOTRA;SHT;1 SHT;1 Kg;BISCUIT 
13600273101;4x4 happy choco;SACHET;1 SACHET;1 Kg;BISCUIT 
13600273102;4x4 happy choco;CARTON;15 SACHET;1 Kg;BISCUIT 
13600140301;4x4 Happy Top pm;SACHET;1 SACHET;1 Kg;BISCUIT 
13600140302;4x4 Happy Top pm;CARTON;14 SACHET;1 Kg;BISCUIT 
13600273201;4x4 happy vanille;SACHET;1 SACHET;1 Kg;BISCUIT 
13600273202;4x4 happy vanille;CARTON;15 SACHET;1 Kg;BISCUIT 
13600239201;4x4 up beurre;SACHET;1 SACHET;1 Kg;BISCUIT 
13600239202;4x4 up beurre;CARTON;17 SACHET;1 Kg;BISCUIT 
13600239801;4x4 up fraise;SACHET;1 SACHET;1 Kg;BISCUIT 
13600239802;4x4 up fraise;CARTON;17 SACHET;1 Kg;BISCUIT 
302;ACIDE LAVA;PIECE;1 PIECE;0 Kg;DIVERS
301;ACIDE LAVA;CARTON;6 PIECE;0 Kg;DIVERS
781;ACIDEL BOTA;PIECE;1 PIECE;0 Kg;DIVERS
780;ACIDEL BOTA;CARTON;12 PIECE;0 Kg;DIVERS
18000167401;Aerosol jumbo xt  fl 680ml;PIECE;1 PIECE;1 Kg;MOSQUITO
18000167402;Aerosol jumbo xt  fl 680ml;CARTON;24 PIECE;1 Kg;MOSQUITO
18000167501;Aerosol jumbo xt fl 300ml;PIECE;1 PIECE;1 Kg;MOSQUITO
18000167502;Aerosol jumbo xt fl 300ml;CARTON;24 PIECE;1 Kg;MOSQUITO
15600203801;africa chef beef cube 108g;PIECE;1 PIECE;1 Kg;DIVERS
15600203802;africa chef beef cube 108g;BOITE;41 PIECE;1 Kg;DIVERS
15600203803;africa chef beef cube 108g;CARTON;2 BOITE;1 Kg;DIVERS
15600203301;Africa chef chicken cube 108g ;PIECE;1 PIECE;1 Kg;DIVERS
15600203302;Africa chef chicken cube 108g ;BOITE;40 PIECE;1 Kg;DIVERS
15600203303;Africa chef chicken cube 108g ;CARTON;2 BOITE;1 Kg;DIVERS
15600268201;Agharbatti seven worder fruits;PIECE;1 PIECE;1 Kg;DIVERS
15600268202;Agharbatti seven worder fruits;BOITE;12 PIECE;1 Kg;DIVERS
