CODE;DESIGNATION;UNITE;PRIX;DATE MISE A JOUR
00600168201; 4X4 UP ;SACHET;1 900 Ar;24/11/2025
00600168202; 4X4 UP ;CARTON;32 000 Ar;24/11/2025
00100086901; BONBON SUCETTE YOGURT LOLLIPOP;SACHET;3 000 Ar;02/05/2023
00100089101; CHEESE BALLS EN PIECE ;PIECE1;1 000 Ar;04/03/2024
00100089102; CHEESE BALLS EN PIECE ;SACHET;37 000 Ar;08/06/2023
00100094001; EMBALLAGE TSOTRA PM (56*76);PIECE;150 Ar;21/11/2024
00100081801; MARGARINE ULTRA 500G; PIECE;5 000 Ar;27/02/2023
00100034901; MATEZA;PIECE ;-;01/02/2023
00100034902; MATEZA;CARTON;-;01/02/2023
00100086501; SAVON ZA KOA V40;CARTON;17 000 Ar;13/05/2024
00100042901; Softex maxi wing's *8 rose;PIECE;3 500 Ar;27/02/2026
00100042902; Softex maxi wing's *8 rose;CARTON;198 000 Ar;09/08/2025
00100062401; TOP POP ;SACHET;6 500 Ar;11/01/2025
00100062402; TOP POP ;BAL;130 000 Ar;11/01/2025
00100006201; VESTLIN LEMON 50G;PIECE;1 500 Ar;08/11/2021
00100006202; VESTLIN LEMON 50G;PACQUET;18 500 Ar;12/01/2026
00100006203; VESTLIN LEMON 50G;CARTON;185 000 Ar;12/01/2026
00100091101; VOANTSIROKA MAINTSO @ KAPOAKA;KAPOAKA;1 300 Ar;13/05/2025
00100194401; VOANTSIROKA MAINTSO @ SAC;SAC;229 000 Ar;02/07/2026
02600150601;100X20;BOITE;37 000 Ar;14/04/2025
02600150602;100X20;CARTON;148 000 Ar;14/04/2025
02600150701;120X21;BOITE;37 000 Ar;14/04/2025
02600150702;120X21;CARTON;148 000 Ar;14/04/2025
02600159601;20X12;BOITE;-;
02600159602;20X12;CARTON;-;
02600154201;30X13;BOITE;37 000 Ar;10/06/2025
02600154202;30X13;CARTON;148 000 Ar;10/06/2025
02600149801;40X14;BOITE;37 000 Ar;14/04/2025
02600149802;40X14;CARTON;148 000 Ar;14/04/2025
00100053001;4X4 ;SACHET;6 000 Ar;18/12/2023
00100069901;4X4 50 ;SACHET ;1 700 Ar;07/02/2023
00100069902;4X4 50 ;CARTON;34 000 Ar;07/02/2023
