Code;Désignation;Unité;Prix;Depot Antanankoro;Depot Stock C;Magasin Mahambolona;Total
20002000;[CRISPY CONE / ACIDULADAS ] EN PIECE;PIECE;400;0;0;0;0
40000100;100X20;BOITE;37.000;0;0;6;6
40000101;100X20;CARTON;148.000;0;0;1,50;1,50
40000200;120X21;BOITE;37.000;0;0;2;2
40000201;120X21;CARTON;148.000;0;0;0,50;0,50
40000300;20X12;BOITE;0;0;0;0;0
40000301;20X12;CARTON;0;0;0;0;0
40000400;30X13;BOITE;37.000;0;0;2;2
40000401;30X13;CARTON;148.000;0;0;0,50;0,50
40000500;40X14;BOITE;37.000;0;0;4;4
40000501;40X14;CARTON;148.000;0;0;1;1
20000600;4X4;SACHET;6.000;0;0;0;0
20000700;4X4 50;SACHET;1.700;0;0;0;0
20000701;4X4 50;CARTON;34.000;0;0;0;0
20000800;4X4 BOKOTRA;SACHET;8.900;0;0;1;1
10000900;4X4 HAPPY CHOCO;SACHET;3.800;0;0;30;30
10000901;4X4 HAPPY CHOCO;CARTON;57.000;0;0;2;2
20001000;4X4 HAPPY TOP;SACHET;2.000;0;0;0;0
20001001;4X4 HAPPY TOP;CARTON;28.000;0;0;0;0
10001100;4X4 UP;SACHET;1.900;0;0;44;44
10001101;4X4 UP;CARTON;32.000;0;0;2,59;2,59
40001200;50X16;BOITE;37.000;0;0;4;4
40001201;50X16;CARTON;148.000;0;0;1;1
40001300;50X18;BOITE;37.000;0;0;6;6
40001301;50X18;CARTON;148.000;0;0;1,50;1,50
40001400;60X17;BOITE;37.000;0;0;6;6
40001401;60X17;CARTON;148.000;0;0;1,50;1,50
40001500;60X20;BOITE;37.000;0;0;4;4
40001501;60X20;CARTON;148.000;0;0;1;1
20001600;70/19;KG;8.000;0;0;0;0
20001601;70/19;CARTON;148.000;0;0;0;0
20001602;70/19;BOITE;0;0;0;0;0
40001700;70X18;BOITE;37.000;0;0;8;8
40001701;70X18;CARTON;148.000;0;0;2;2
40001800;80X19;BOITE;37.000;0;0;3;3
40001801;80X19;CARTON;148.000;0;0;0,75;0,75
40001900;90X20;BOITE;37.000;0;0;6;6
40001901;90X20;CARTON;148.000;0;0;1,50;1,50
20002100;ACIDE LAVA;BOUTEILLE;4.000;0;0;36;36
20002101;ACIDE LAVA;CARTON;24.000;0;0;6;6
20002200;ACIDEL BOTA;BOUTEIL;4.900;0;0;69;69
20002201;ACIDEL BOTA;CARTON;58.000;0;0;5,75;5,75
20002300;AEROSOL JUMBO XT FL 300ML;PIECE;17.000;0;0;19;19
20002400;AEROSOL JUMBO XT FL 680ML;PIECE;24.000;0;0;9;9
50002500;AFRICA CHEF CHICKEN CUBE 108G;PCS;1.800;0;0;0;0
20002600;AGHARBATTI SEVEN WONDER FLOWES;PAQUET;2.000;0;0;0;0
20002601;AGHARBATTI SEVEN WONDER FLOWES;BOITE;24.000;0;0;0;0
20002700;AGHARBATTI SEVEN WONDER FRUITS;PAQUET;2.000;0;0;0;0
20002701;AGHARBATTI SEVEN WONDER FRUITS;BOITE;24.000;0;0;0;0
20002800;ALKALINE R6;BOITE;13.000;0;0;0;0
20002900;ALLUMETTE ITALIA;BTE;800;0;0;92;92
20002901;ALLUMETTE ITALIA;CARTOUCHE;8.000;0;0;9,20;9,20
20002902;ALLUMETTE ITALIA;CARTON;80.000;0;0;0,92;0,92
20003000;ALLUMETTE YES SAFETY;BOITE;800;0;0;288;288
20003001;ALLUMETTE YES SAFETY;CARTOUCHE;8.000;0;0;28,80;28,80
20003002;ALLUMETTE YES SAFETY;CARTON;80.000;0;0;2,88;2,88
20003100;AMPOULE RANO 9W;PIECE;5.000;0;0;0;0
20003200;ANGOLA BLEU GM;PAQUET;10.500;0;0;0;0
20003300;ANGOLA BLEU PM;PAQUET;10.500;0;0;4;4
60003400;ANGOLA EN PCS;PIECE;1.800;0;0;1;1
20003500;ANGOLA ROUGE GM;PAQUET;10.500;0;0;0;0
20003600;ANGOLA VERT GM;PAQUET;10.500;0;0;0;0
20003700;ANGOLA VERT PM;PAQUET;10.500;0;0;5;5
50003800;Apollo en pcs;PIECE;800;0;0;0;0
70003900;ARROW MOSQUITO COILS VET BAMBOO;PIECE;1.800;0;0;50;50
70003901;ARROW MOSQUITO COILS VET BAMBOO;CARTON;108.000;0;0;0,83;0,83
20004000;ASSIETE A JETTER RAHA;PCS;400;0;0;50;50
20004001;ASSIETE A JETTER RAHA;CARTON;180.000;0;0;2,50;2,50
20004002;ASSIETE A JETTER RAHA;PAQUET;9.000;0;0;0,10;0,10
80004100;ASSORTED LOLLIPOP ROYALE;SACHET;3.900;0;0;0;0
80004200;B.KAMCO LEIBNIZ;BOITE;5.000;0;0;2;2
20004300;BABY SEA CONFORT 5X32 N °4;PAQUET;24.000;0;0;3;3
20004301;BABY SEA CONFORT 5X32 N °4;BALLE;120.000;0;0;0,60;0,60
20004400;BABY SEA CONFORT 5X36 N °3;PAQUET;24.000;0;0;0;0
20004401;BABY SEA CONFORT 5X36 N °3;BALLE;120.000;0;0;0;0
90004500;BALAIRA VARY;SAC;30.000;0;0;0;0
20004600;BALANCE CHINE FORCE 100KG;PIECE;390.000;0;0;0;0
20004700;BALANCE DEBAKA 20KG;PIECE;89.000;0;0;0;0
20004800;BAOBA CITRON 50CL;BOUTEILLE;6.500;0;0;0;0
20004900;BAOBA MENTHE 50CL;BOUTEILLE;6.500;0;0;0;0
20005000;BAOBA ORANGE MANDARINE 50CL;BOUTEILLE;6.500;0;0;0;0
20005100;BAREA;SAC;113.000;0;0;0;0
100005200;BARRE CORRY GM;BARRE;4.000;0;0;0;0
100005201;BARRE CORRY GM;CARTON;33.000;0;0;0;0
20005300;BAUME KATRAFAY;PAQUET;7.000;0;0;10;10
20005400;Baume Ravintsara;PIECE;300;0;0;0;0
20005401;Baume Ravintsara;BALE;130.000;0;0;0;0
20005402;Baume Ravintsara;PAQUET;13.000;0;0;0;0
110005500;BBA;PIECE;5.000;0;0;0;0
110005501;BBA;PAQUET;30.500;0;0;0;0
120005600;Bebem pants culottes maxi 4x32 n°4;PAQUET;22.000;0;0;4;4
120005601;Bebem pants culottes maxi 4x32 n°4;BALLE;88.000;0;0;1;1
20005700;bebem twin junior 4X28 n°5;PAQUET;19.500;0;0;0;0
20005701;bebem twin junior 4X28 n°5;BALLE;78.000;0;0;0;0
20005800;BENNY;PIECE;350;0;0;280;280
20005801;BENNY;CARTON;105.000;0;0;35;35
20005802;BENNY;BOITE;13.500;0;0;0,83;0,83
20005900;BEURRE EVET;PIECE;0;0;0;0;0
20005901;BEURRE EVET;PIECE;2.800;0;0;0;0
20006000;BEURRE TEREMA 200G;PCE;2.800;0;0;0;0
50006100;BHOOT UNKLE;SACHET;12.000;0;0;6;6
20006200;BICUIT CHOCOLATE EN PIECE;PIECE;600;0;0;0;0
20006201;BICUIT CHOCOLATE EN PIECE;PAQUET;14.800;0;0;0;0
10006300;BIG BOY WAFER BISCUIT 40PCS;PIECES;500;0;0;192;192
10006301;BIG BOY WAFER BISCUIT 40PCS;BOCAL;15.000;0;0;4,80;4,80
80006400;BIG TOFFE HAPPY BIRTHBLASH;BOCAL;13.500;0;0;0;0
10006500;BIG TOFFEE BIRTHDAY TIME;BOCAL;13.500;0;0;8;8
80006600;BIG TOFFEE KEMLO MILK 200P*8BTE;BOCAL;14.000;0;0;5;5
130006700;BIGG POP GUM CARRE EN BOCAL*100PCS;BOCAL;12.000;0;0;10;10
130006701;BIGG POP GUM CARRE EN BOCAL*100PCS;CARTON;180.000;0;0;0,83;0,83
10006900;BIS'NICE 2 BISCUITS;SACHET;2.000;0;0;1;1
10006901;BIS'NICE 2 BISCUITS;CARTON;55.000;0;0;0,04;0,04
10007000;BIS'NICE 9 BISCUITS;SACHET;5.400;0;0;9;9
10007001;BIS'NICE 9 BISCUITS;CARTON;75.000;0;0;0,64;0,64
10006800;Bis marie;SACHET;2.300;0;0;0;0
10006801;Bis marie;CARTON;41.000;0;0;0;0
10007100;Biscuit 10 delice*12x8;SACHET;5.000;0;0;0;0
10007101;Biscuit 10 delice*12x8;CARTON;60.000;0;0;0;0
10007200;BISCUIT 18 DELICE;PQT;9.600;0;0;0;0
10007201;BISCUIT 18 DELICE;CARTON;48.000;0;0;0;0
10007300;BISCUIT 18 PETIT BEURRE;SACHET;16.500;0;0;15;15
10007301;BISCUIT 18 PETIT BEURRE;CARTON;65.500;0;0;3,75;3,75
10007400;Biscuit 18 petit lait;SACHET;16.500;0;0;59;59
10007401;Biscuit 18 petit lait;CARTON;65.500;0;0;14,75;14,75
10007500;BISCUIT 4X4 BE;PIECE;1.400;0;0;16;16
10007501;BISCUIT 4X4 BE;CARTON;27.000;0;0;0,89;0,89
20007600;BISCUIT 4X4 CHOCO BE;PAQUET;3.000;0;0;16;16
20007601;BISCUIT 4X4 CHOCO BE;CARTON;78.000;0;0;0,59;0,59
10007700;BISCUIT 4X4 CHOCO MIAM;SACHET;1.900;0;0;95;95
10007701;BISCUIT 4X4 CHOCO MIAM;CARTON;45.000;0;0;3,96;3,96
20007800;BISCUIT 4X4 GO;SACHET;2.000;0;0;0;0
20007801;BISCUIT 4X4 GO;CARTON;36.000;0;0;0;0
10007900;BISCUIT 4X4 KREM BANANA;SACHET;1.900;0;0;86;86
10007901;BISCUIT 4X4 KREM BANANA;CARTON;45.000;0;0;3,58;3,58
10008000;BISCUIT 4X4 KREM CITRON;SAHET;1.900;0;0;97;97
10008001;BISCUIT 4X4 KREM CITRON;CARTON;45.000;0;0;4,04;4,04
10008100;Biscuit 6 delice;SACHET;4.000;0;0;227;227
10008101;Biscuit 6 delice;CARTON;64.000;0;0;14,19;14,19
20008200;BISCUIT 6 PETIT BEURRE LAIT;SACHET;4.500;0;0;0;0
20008201;BISCUIT 6 PETIT BEURRE LAIT;CARTON;54.000;0;0;0;0
10008300;BISCUIT 77 CREAM CHOCO;PCS;1.300;0;0;0;0
10008301;BISCUIT 77 CREAM CHOCO;CARTON;180.000;0;0;0;0
10008302;BISCUIT 77 CREAM CHOCO;BTE;30.000;0;0;0;0
20008400;Biscuit bledor club cremica;PIECES;500;0;0;536;536
20008401;Biscuit bledor club cremica;PAQUET;3.500;0;0;67;67
20008402;Biscuit bledor club cremica;CARTON;84.000;0;0;2,79;2,79
10008500;BISCUIT CHOCO BICO 65G;PIECES;1.400;0;0;0;0
10008501;BISCUIT CHOCO BICO 65G;PACQUET;14.000;0;0;0;0
10008600;BISCUIT CHOCO CHAMP;BOITE;6.800;0;0;5;5
10008601;BISCUIT CHOCO CHAMP;PIECE;0;0;0;5;5
10008700;BISCUIT CHOCO GOF 12PCS*20;PQT;3.400;0;0;0;0
10008701;BISCUIT CHOCO GOF 12PCS*20;CARTON;68.000;0;0;0;0
10008800;BISCUIT CHOCO LOVE;BOITE;6.800;0;0;2;2
10008801;BISCUIT CHOCO LOVE;PIECE;0;0;0;2;2
20008900;BISCUIT COCONUT PM;SACHET;2.800;0;0;0;0
20008901;BISCUIT COCONUT PM;CARTON;28.000;0;0;0;0
10009000;BISCUIT CREAM CHEERS;SACHET;3.600;0;0;10;10
10009001;BISCUIT CREAM CHEERS;CARTON;36.000;0;0;1;1
20009100;BISCUIT CREAM DUEX;SACHET;1.900;0;0;0;0
20009101;BISCUIT CREAM DUEX;CARTON;28.500;0;0;0;0
10009200;BISCUIT CREAM FRESH JAI KADA;SACHET;4.900;0;0;0;0
10009201;BISCUIT CREAM FRESH JAI KADA;CARTON;49.000;0;0;0;0
10009300;BISCUIT CREAM LATA;SACHET;6.700;0;0;10;10
10009301;BISCUIT CREAM LATA;CARTON;33.500;0;0;2;2
80009400;Biscuit creamy voila;PIECE;1.500;0;0;0;0
80009401;Biscuit creamy voila;CARTON;0;0;0;0;0
10009500;Biscuit creme veto 82g;PCS;950;0;0;3;3
10009501;Biscuit creme veto 82g;CARTON;22.800;0;0;0,12;0,12
10009600;BISCUIT CREMELOCREMICA ASS 70G;SACHET;9.000;0;0;18;18
10009601;BISCUIT CREMELOCREMICA ASS 70G;CARTON;108.000;0;0;1,50;1,50
10009700;BISCUIT CREMO MIX 48PCS;PCS;1.800;0;0;0;0
10009701;BISCUIT CREMO MIX 48PCS;CARTON;86.400;0;0;0;0
10009800;BISCUIT CRUNCH COATED WAFER;BOITE;8.800;0;0;0;0
10009900;Biscuit Crunchy Wafer 75gx24;PIECES;3.000;0;0;0;0
10009901;Biscuit Crunchy Wafer 75gx24;CARTON;72.000;0;0;0;0
20010000;BISCUIT EN PIECE;PIECE;500;0;0;0;0
20010100;BISCUIT FAMILY VANILLE;SACHET;3.000;0;0;0;0
20010101;BISCUIT FAMILY VANILLE;CARTON;53.000;0;0;0;0
20010200;BISCUIT FARILAC;PAQUET;7.900;0;0;0;0
20010201;BISCUIT FARILAC;CARTON;47.000;0;0;0;0
20010300;BISCUIT FREGO POCKET ASS (PM);SACHET;2.800;0;0;39;39
20010301;BISCUIT FREGO POCKET ASS (PM);CARTON;64.000;0;0;1,77;1,77
20010400;BISCUIT GALETI CTN;SACHET;2.100;0;0;1;1
20010401;BISCUIT GALETI CTN;CARTON;37.000;0;0;0,06;0,06
10010500;BISCUIT GINGER;SACHET;2.200;0;0;1;1
10010501;BISCUIT GINGER;CARTON;33.000;0;0;0,07;0,07
20010600;BISCUIT GLUCOSE BE;SACHET;2.000;0;0;0;0
20010601;BISCUIT GLUCOSE BE;CARTON;47.000;0;0;0;0
20010700;BISCUIT GLUCOSE MILK FRESH;PAQUET;2.500;0;0;0;0
20010701;BISCUIT GLUCOSE MILK FRESH;CARTON;25.000;0;0;0;0
10010800;Biscuit glucose pm Anita (Ass);SACHET;1.900;0;0;0;0
10010801;Biscuit glucose pm Anita (Ass);CARTON;19.000;0;0;0;0
20010900;Biscuit glucose zaza botra;SACHET;2.800;0;0;0;0
20010901;Biscuit glucose zaza botra;CARTON;28.000;0;0;0;0
10011000;BISCUIT GLUCOSE ZAZA BOTRA EN PCS;PCS;300;0;0;0;0
10011100;BISCUIT HAPPY;SACHET;3.000;0;0;0;0
10011101;BISCUIT HAPPY;CARTON;45.000;0;0;0;0
10011200;BISCUIT HERO;PQT;1.000;0;0;324;324
