designation,unit,issue,message
Bebem pants culotte maxi 4x32 n°4,BALLE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Biscuit rockers spark hitrick,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Bonbon Caffee,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Bonbon star POP,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Bonbon vintage truff choco 1kg,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Pointe 90X20 de 20kg,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Sundea choco ice cream,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Tongue paint assorti 5g,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
4x4 happy choco,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
4x4 Happy Top pm,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
4x4 happy vanille,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
4x4 up beurre,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
4x4 up fraise,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
ACIDE LAVA,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
ACIDEL BOTA,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Aerosol jumbo xt  fl 680ml,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Aerosol jumbo xt fl 300ml,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
africa chef beef cube 108g,BOITE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
africa chef beef cube 108g,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Africa chef chicken cube 108g,BOITE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Africa chef chicken cube 108g,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Agharbatti seven worder fruits,BOITE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Allumette italia,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Allumettes yes safety,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Allumettes yes safety,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Ampoule clear bulb 100w,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Ampoule clear bulb 40w,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Ampoule clear bulb 60w,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Ampoule clear bulb 75w,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Angola bleu gm,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Angola bleu gm,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Arrow mosquito coils vert bamboo,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Assiette à jette Raha,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Assorted lollipop Royale,CARTON,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
BABY SEA CONFORT 5X32 N°4,BALLE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
BABY SEA CONFORT 5X36 N°3,BALLE,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
Baby sea confort 5x36 n°3 en sachet,PAQUET,DUPLICATE_DESIGNATION,ligne ignorée car une première occurrence a déjà été retenue pour cette désignation
