csv_code,csv_name,csv_unit,idarticle,idunite,codearticle,stock_qtys,inventory_qtys,log_count,price_count
3393,GROS POID,KAPOAKA,3205,4218,0180320500,0|0|0,0|0|0,3,0
21500029002,GROS POID,SAC,3139,4128,0180313900,0|0|0,0|0|0,3,0
22000321901,GROS POID 50KG,SAC,3139,4128,0180313900,0|0|0,0|0|0,3,0
22000328701,GROS POID EN KAPOAKA,KAPOAKA,3205,4218,0180320500,0|0|0,0|0|0,3,0
19200212501,HARAKA FOTSY GONY,SAC,2078,2790,0170207800,0|0|0,0|0|0,3,0
15600316601,HILE MOTEUR SPARTANS SAE 30,JERYCAN,3087,4047,0030308700,0|0|0,0|0|0,3,0
21400257701,HUILE 20W50 ESSENCE EN LITRE,LITRE,2516,3305,0340251600,0|0|0,0|0|0,3,0
24600230201,HUILE COCO TOP 18KG,DABA,2243,2985,0370224300,0|0|0,0|0|0,3,0
24600380701,HUILE ELVIA EN JERYCAN 10L,JERYCAN,3709,4899,0370370900,0|0|0,0|0|0,3,0
16600326901,HUILE EVITA 250CL,PIECE,3187,4190,0260318700,0|0|0,0|0|0,3,0
16600273601,HUILE HAYAT,JERYCAN,2670,3526,0260267000,0|0|0,0|0|0,3,0
24600273001,HUILE TOURNESOL 1L,PIECE,2664,3517,0370266400,0|0|0,0|0|0,3,0
24600273101,HUILE TOURNESOL 5L,PIECE,2665,3519,0370266500,0|0|0,0|0|0,3,0
16600319301,HUILE TOURNESOL COEUR D'OR 1L,PIECE,3113,4092,0260311300,0|0|0,0|0|0,3,0
16600413401,HUILE TOURNESOL LUSSO 1L,BOUTEILLE,4019,5433,0260401900,0|0|0,0|0|0,3,0
16600367401,HUILE TOURNESOL SUNLIFE 1L,BOUTEIL,3578,4707,0260357800,0|0|0,0|0|0,3,0
16600271001,HUILE WHITE LILY OIL,JERYCAN,2647,3491,0260264700,0|0|0,0|0|0,3,0
21500395401,JELLY BEAN,BOITE,3849,5137,0040384900,0|0|0,0|0|0,3,0
21500221801,JELLY_CUP,SACHET,2167,2887,0040216700,0|0|0,0|0|0,3,0
21500221901,JELLY_STICK,SACHET,2168,2889,0040216800,0|0|0,0|0|0,3,0
21500273301,JUMBO EN PIECE,PIECE,2667,3523,0040266700,0|0|0,0|0|0,3,0
21500403801,JUS EN BOITE TOFFEE JELLY,BOITE,3926,5279,0040392600,0|0|0,0|0|0,3,0
21500221501,JUS EN POT,PIECE,759,959,0030075900,0|0|0,0|0|0,3,0
24000342601,JUS GOLDEN COCKTAIL,BOITE,3338,4368,0200333800,0|0|0,0|0|0,3,0
