csv_code,csv_name,csv_unit,idarticle,idunite,codearticle,stock_delete_clauses,inventaire_delete_clauses,log_delete_clauses,price_delete_clauses,zero_stock
3393,GROS POID,KAPOAKA,3205,4218,0180320500,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0180320500'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0180320500'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0180320500',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0180320500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0180320500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0180320500' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
21500029002,GROS POID,SAC,3139,4128,0180313900,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0180313900'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0180313900'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0180313900',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0180313900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0180313900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0180313900' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
22000321901,GROS POID 50KG,SAC,3139,4128,0180313900,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0180313900'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0180313900'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0180313900',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0180313900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0180313900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0180313900' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0180313900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
22000328701,GROS POID EN KAPOAKA,KAPOAKA,3205,4218,0180320500,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0180320500'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0180320500'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0180320500',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0180320500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0180320500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0180320500' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0180320500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
19200212501,HARAKA FOTSY GONY,SAC,2078,2790,0170207800,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0170207800'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0170207800'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0170207800',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0170207800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0170207800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0170207800' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0170207800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0170207800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0170207800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
15600316601,HILE MOTEUR SPARTANS SAE 30,JERYCAN,3087,4047,0030308700,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0030308700'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0030308700'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0030308700',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0030308700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0030308700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0030308700' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0030308700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0030308700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0030308700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
21400257701,HUILE 20W50 ESSENCE EN LITRE,LITRE,2516,3305,0340251600,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0340251600'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0340251600'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0340251600',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0340251600' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0340251600' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0340251600' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0340251600' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0340251600' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0340251600' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
24600230201,HUILE COCO TOP 18KG,DABA,2243,2985,0370224300,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0370224300'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0370224300'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0370224300',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0370224300' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0370224300' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0370224300' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0370224300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0370224300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0370224300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
24600380701,HUILE ELVIA EN JERYCAN 10L,JERYCAN,3709,4899,0370370900,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0370370900'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0370370900'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0370370900',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0370370900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0370370900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0370370900' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0370370900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0370370900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0370370900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
16600326901,HUILE EVITA 250CL,PIECE,3187,4190,0260318700,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260318700'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260318700'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260318700',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260318700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260318700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260318700' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260318700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260318700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260318700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
